叶子代码,叶子行业,股票代码,股票名称,最新权重
851751,机场,600004,白云机场,22.6663
851751,机场,600009,上海机场,55.0606
851751,机场,600897,厦门空港,5.5221
851751,机场,000089,深圳机场,16.7509
851783,中间产品及消费品供应链服务,002889,东方嘉盛,10.8796
851783,中间产品及消费品供应链服务,300013,新宁物流,11.6683
851783,中间产品及消费品供应链服务,300240,飞力达,8.6395
851783,中间产品及消费品供应链服务,300350,华鹏飞,14.6940
851783,中间产品及消费品供应链服务,300873,海晨股份,21.3965
851783,中间产品及消费品供应链服务,603648,畅联股份,12.5538
851783,中间产品及消费品供应链服务,001220,世盟股份,5.4251
851783,中间产品及消费品供应链服务,002769,普路通,14.7427
851786,仓储物流,002930,宏川智慧,10.1430
851786,仓储物流,600787,中储股份,30.3562
851786,仓储物流,600794,保税科技,13.8209
851786,仓储物流,603713,密尔克卫,31.9471
851786,仓储物流,603066,音飞储存,7.0191
851786,仓储物流,002492,恒基达鑫,6.7134
851787,公路货运,002682,龙洲股份,16.4587
851787,公路货运,603569,长久物流,8.7644
851787,公路货运,603813,原尚股份,12.7610
851787,公路货运,002010,传化智联,62.0157
857652,广告媒体,002027,分众传媒,95.2127
857652,广告媒体,301102,兆讯传媒,1.7701
857652,广告媒体,000607,华媒控股,3.017
851741,航空运输,002928,华夏航空,3.2973
851741,航空运输,600029,南方航空,14.9545
851741,航空运输,600115,中国东航,17.6105
851741,航空运输,600221,海航控股,20.7193
851741,航空运输,601021,春秋航空,15.1638
851741,航空运输,601111,中国国航,15.6382
851741,航空运输,603885,吉祥航空,7.5040
851741,航空运输,000099,中信海直,5.1121
851782,原材料供应链服务,000906,浙商中拓,3.7526
851782,原材料供应链服务,001202,炬申股份,1.5858
851782,原材料供应链服务,600057,厦门象屿,10.7660
851782,原材料供应链服务,600153,建发股份,25.8328
851782,原材料供应链服务,600180,*ST瑞茂,1.0593
851782,原材料供应链服务,600704,物产中大,26.3000
851782,原材料供应链服务,600753,ST海钦,2.6242
851782,原材料供应链服务,600755,厦门国贸,14.3065
851782,原材料供应链服务,603329,上海雅仕,2.0331
851782,原材料供应链服务,605050,福然德,3.5558
851782,原材料供应链服务,002485,ST雪发,1.6330
851782,原材料供应链服务,600603,广汇物流,4.0425
851782,原材料供应链服务,000626,远大控股,2.5077
851711,港口,000582,北部湾港,9.9083
851711,港口,000905,厦门港务,3.3471
851711,港口,001872,招商港口,5.2113
851711,港口,002040,南京港,1.4776
851711,港口,600017,日照港,5.0366
851711,港口,600018,上港集团,17.5808
851711,港口,600279,重庆港,1.9973
851711,港口,600717,天津港,6.2065
851711,港口,601000,唐山港,11.9330
851711,港口,601008,连云港,2.6172
851711,港口,601018,宁波港,8.8397
851711,港口,601228,广州港,3.8641
851711,港口,601298,青岛港,6.3888
851711,港口,601326,秦港股份,2.5980
851711,港口,601880,辽港股份,8.0877
851711,港口,000088,盐田港,4.9054
857662,院线,002905,金逸影视,3.8998
857662,院线,300528,幸福蓝海,11.9246
857662,院线,603103,横店影视,6.3193
857662,院线,002739,儒意电影,77.8561
857676,其他数字媒体,301313,凡拓数创,24.9141
857676,其他数字媒体,600640,国脉文化,27.2285
857676,其他数字媒体,603466,风语筑,47.8573
857673,图片媒体,000681,视觉中国,100.0
851784,快递,002352,顺丰控股,63.2109
851784,快递,002468,申通快递,6.7616
851784,快递,600233,圆通速递,23.0303
851784,快递,002120,韵达股份,6.9970
857671,视频媒体,300413,芒果超媒,100.0
857675,文字媒体,603533,掌阅科技,100.0
851721,公交,600561,江西长运,7.1686
851721,公交,600611,大众交通,37.5791
851721,公交,600650,锦江在线,15.0938
851721,公交,600834,申通地铁,11.6655
851721,公交,603069,海汽集团,13.4884
851721,公交,002357,富临运业,15.0043
851785,跨境物流,601156,东航物流,28.0035
851785,跨境物流,601598,中国外运,14.3959
851785,跨境物流,603117,万林物流,3.4836
851785,跨境物流,603128,华贸物流,7.8084
851785,跨境物流,603535,嘉诚国际,2.5525
851785,跨境物流,603836,海程邦达,2.2010
851785,跨境物流,603871,嘉友国际,17.6350
851785,跨境物流,603967,中创物流,3.2874
851785,跨境物流,001228,永泰运,3.8382
851785,跨境物流,001391,国货航,12.7557
851785,跨境物流,002800,天顺股份,2.1429
851785,跨境物流,600119,*ST长投,1.8952
851761,航运,001205,盛航股份,0.8920
851761,航运,002320,海峡股份,2.0113
851761,航运,600026,中远海能,10.4011
851761,航运,600179,安通控股,4.6222
851761,航运,600428,中远海特,6.6952
851761,航运,600798,宁波海运,1.0365
851761,航运,601866,中远海发,4.4788
851761,航运,601872,招商轮船,20.5374
851761,航运,601919,中远海控,29.4291
851761,航运,601975,招商南油,5.3215
851761,航运,603167,渤海轮渡,1.1634
851761,航运,603565,中谷物流,4.5520
851761,航运,603209,兴通股份,1.2321
851761,航运,601022,宁波远洋,0.8804
851761,航运,603162,海通发展,2.2754
851761,航运,601083,锦江航运,1.0990
851761,航运,600751,海航科技,1.9786
851761,航运,000520,凤凰航运,1.3933
851619,其他能源发电,002616,长青集团,100.0
851618,核力发电,601985,中国核电,69.1838
851618,核力发电,000958,电投产融,8.0
851618,核力发电,003816,中国广核,22.816
851731,高速公路,000548,湖南投资,1.6976
851731,高速公路,000755,山西高速,1.7328
851731,高速公路,000828,东莞控股,3.8850
851731,高速公路,000900,现代投资,3.7636
851731,高速公路,001965,招商公路,19.6008
851731,高速公路,600012,皖通高速,5.5615
851731,高速公路,600020,中原高速,3.3439
851731,高速公路,600033,福建高速,5.3838
851731,高速公路,600035,楚天高速,3.2331
851731,高速公路,600106,重庆路桥,4.9897
851731,高速公路,600269,赣粤高速,4.6447
851731,高速公路,600350,山东高速,9.2050
851731,高速公路,600368,五洲交通,3.5894
851731,高速公路,600377,宁沪高速,6.8146
851731,高速公路,600548,深高速,2.4928
851731,高速公路,601107,四川成渝,3.2070
851731,高速公路,601188,龙江交通,2.2559
851731,高速公路,601518,吉林高速,1.9164
851731,高速公路,000886,海南高速,3.8088
851731,高速公路,000429,粤高速A,8.8727
851771,铁路运输,001213,中铁特货,2.3929
851771,铁路运输,001317,三羊马,1.2114
851771,铁路运输,600125,铁龙物流,4.4494
851771,铁路运输,601006,大秦铁路,37.3615
851771,铁路运输,601333,广深铁路,7.6886
851771,铁路运输,601816,京沪高铁,44.9227
851771,铁路运输,000557,西部创业,1.9732
857692,大众出版,000793,*ST华闻,11.3705
857692,大众出版,002181,粤传媒,6.3193
857692,大众出版,300364,中文在线,24.8437
857692,大众出版,300788,中信出版,2.4437
857692,大众出版,301025,读客文化,1.3107
857692,大众出版,301052,果麦文化,2.8991
857692,大众出版,600229,城市传媒,2.5205
857692,大众出版,600373,中文传媒,9.4178
857692,大众出版,600551,时代出版,3.0895
857692,大众出版,600825,新华传媒,5.1216
857692,大众出版,601801,皖新传媒,4.9704
857692,大众出版,601858,中国科传,5.3533
857692,大众出版,601949,中国出版,4.1536
857692,大众出版,601999,出版传媒,2.1200
857692,大众出版,603096,新经典,1.7736
857692,大众出版,603999,读者传媒,2.1848
857692,大众出版,301231,荣信文化,2.5743
857692,大众出版,603230,内蒙新华,1.6702
857692,大众出版,000719,中原传媒,5.8625
857691,教育出版,600757,长江传媒,12.7002
857691,教育出版,601019,山东出版,7.1888
857691,教育出版,601098,中南传媒,20.4233
857691,教育出版,601811,新华文轩,5.6280
857691,教育出版,601900,南方传媒,10.5994
857691,教育出版,601921,浙版传媒,8.3181
857691,教育出版,601928,凤凰传媒,19.3802
857691,教育出版,605577,龙版传媒,2.2254
857691,教育出版,300148,天舟文化,6.9656
857691,教育出版,300654,世纪天鸿,6.5704
857651,营销代理,002291,遥望科技,2.7532
857651,营销代理,002400,省广集团,6.2855
857651,营销代理,002712,思美传媒,0.9349
857651,营销代理,002995,天地在线,0.9782
857651,营销代理,300058,蓝色光标,33.0042
857651,营销代理,300061,旗天科技,1.7839
857651,营销代理,300063,天龙集团,3.3795
857651,营销代理,300071,福石控股,1.9915
857651,营销代理,300242,佳云科技,1.7195
857651,营销代理,300612,宣亚国际,1.1929
857651,营销代理,300781,因赛集团,1.3965
857651,营销代理,300805,电声股份,1.2513
857651,营销代理,600358,国旅联合,1.2827
857651,营销代理,600556,天下秀,3.6730
857651,营销代理,600986,浙文互联,6.3362
857651,营销代理,603598,引力传媒,1.5787
857651,营销代理,603729,ST龙韵,0.4289
857651,营销代理,603825,ST华扬,0.7387
857651,营销代理,605168,三人行,2.7284
857651,营销代理,002878,元隆雅图,1.1806
857651,营销代理,301171,易点天下,9.1199
857651,营销代理,002354,天娱数科,7.9598
857651,营销代理,002264,新华都,1.9326
857651,营销代理,603602,纵横通信,1.1929
857651,营销代理,000676,智度股份,5.1753
850174,其他养殖,300313,天山生物,18.8742
850174,其他养殖,600965,*ST福成,20.6534
850174,其他养殖,002321,华英农业,60.4722
857661,影视动漫制作,000892,欢瑞世纪,2.4371
857661,影视动漫制作,002292,奥飞娱乐,9.0089
857661,影视动漫制作,002343,慈文传媒,2.2234
857661,影视动漫制作,300027,ST华谊,4.2710
857661,影视动漫制作,300133,华策影视,12.4709
857661,影视动漫制作,300182,捷成股份,14.7955
857661,影视动漫制作,300251,光线传媒,23.4701
857661,影视动漫制作,300291,百纳千成,3.7869
857661,影视动漫制作,300426,华智数媒,2.1750
